sleep_year,sleep_month,tag,count
2019,06,lullaby,1
2019,07,fullmoon,1
2019,07,geo0,23
2019,07,home,3
2019,07,lullaby,6
2019,07,newmoon,2
2019,08,auto,1
2019,08,food,1
2019,08,fullmoon,2
2019,08,geo0,28
2019,08,home,2
2019,08,lullaby,1
2019,08,newmoon,2
2019,09,fullmoon,1
2019,09,geo0,9
2019,09,home,21
2019,09,lullaby,11
2019,09,newmoon,1
2019,10,fullmoon,1
2019,10,home,32
2019,10,lullaby,21
2019,10,newmoon,2
2019,10,pair,4
2019,10,sonar,2
2019,10,watch,14
2019,11,dark,1
2019,11,fullmoon,2
2019,11,geo0,1
2019,11,home,24
2019,11,lullaby,11
2019,11,newmoon,1
2019,11,pair,5
2019,11,watch,27
2019,12,fullmoon,1
2019,12,geo0,2
2019,12,home,28
2019,12,lullaby,12
2019,12,newmoon,1
2019,12,pair,7
2019,12,watch,30
2020,01,auto,1
2020,01,fullmoon,2
2020,01,home,31
2020,01,lullaby,17
2020,01,newmoon,1
2020,01,pair,7
2020,01,watch,31
2020,02,fullmoon,1
2020,02,geo0,1
2020,02,home,28
2020,02,lullaby,20
2020,02,newmoon,2
2020,02,pair,9
2020,02,watch,29
2020,03,fullmoon,1
2020,03,home,31
2020,03,lullaby,11
2020,03,newmoon,2
2020,03,pair,1
2020,03,stress,1
2020,03,watch,31
2020,04,auto,1
2020,04,fullmoon,1
2020,04,home,30
2020,04,lullaby,2
2020,04,newmoon,1
2020,04,watch,30
2020,05,food,1
2020,05,fullmoon,1
2020,05,home,31
2020,05,lullaby,11
2020,05,newmoon,1
2020,05,stress,1
2020,05,watch,31
2020,06,auto,1
2020,06,dark,3
2020,06,fullmoon,1
2020,06,home,14
2020,06,light,1
2020,06,lullaby,7
2020,06,newmoon,1
2020,06,sport,5
2020,06,watch,27
2020,07,dark,17
2020,07,fullmoon,1
2020,07,home,27
2020,07,light,3
2020,07,lullaby,1
2020,07,newmoon,1
2020,07,sport,4
2020,07,watch,28
2020,08,dark,11
2020,08,fullmoon,2
2020,08,home,31
2020,08,light,2
2020,08,newmoon,1
2020,08,sport,2
2020,08,watch,31
2020,09,fullmoon,1
2020,09,geo0,2
2020,09,home,28
2020,09,newmoon,2
2020,09,sport,13
2020,09,watch,30
2020,10,fullmoon,3
2020,10,home,30
2020,10,newmoon,1
2020,10,sport,10
2020,10,watch,29
2020,11,fullmoon,2
2020,11,home,25
2020,11,newmoon,1
2020,11,sport,7
2020,11,watch,25
2020,12,fullmoon,1
2020,12,home,30
2020,12,newmoon,1
2020,12,sport,2
2020,12,watch,29
2021,01,fullmoon,1
2021,01,geo0,2
2021,01,home,28
2021,01,newmoon,1
2021,01,sport,5
2021,01,watch,28
2021,02,alcohol,1
2021,02,auto,1
2021,02,fullmoon,1
2021,02,home,25
2021,02,light,1
2021,02,newmoon,1
2021,02,sport,7
2021,02,watch,25
2021,03,fullmoon,1
2021,03,home,27
2021,03,newmoon,2
2021,03,sport,7
2021,03,watch,26
2021,04,auto,1
2021,04,fullmoon,1
2021,04,home,29
2021,04,newmoon,1
2021,04,sport,6
2021,04,watch,29
2021,05,fullmoon,2
2021,05,home,29
2021,05,light,2
2021,05,newmoon,1
2021,05,sport,5
2021,05,watch,29
2021,06,fullmoon,2
2021,06,home,31
2021,06,light,1
2021,06,lullaby,3
2021,06,newmoon,2
2021,06,sport,8
2021,06,watch,31
2021,07,fullmoon,1
2021,07,home,31
2021,07,lullaby,2
2021,07,newmoon,1
2021,07,sport,11
2021,07,watch,30
2021,08,fullmoon,2
2021,08,geo0,7
2021,08,geo2,6
2021,08,home,18
2021,08,lullaby,3
2021,08,newmoon,2
2021,08,sport,10
2021,08,watch,28
2021,09,auto,2
2021,09,fullmoon,1
2021,09,geo0,3
2021,09,home,27
2021,09,lullaby,3
2021,09,newmoon,1
2021,09,sport,18
2021,09,watch,26
2021,10,fullmoon,2
2021,10,home,32
2021,10,lullaby,1
2021,10,newmoon,2
2021,10,sport,1
2021,10,watch,31
2021,11,auto,1
2021,11,fullmoon,2
2021,11,geo0,1
2021,11,geo2,6
2021,11,home,23
2021,11,lullaby,1
2021,11,newmoon,1
2021,11,watch,25
2021,12,auto,2
2021,12,fullmoon,1
2021,12,geo0,2
2021,12,home,30
2021,12,lullaby,1
2021,12,newmoon,1
2021,12,watch,30
2022,01,fullmoon,1
2022,01,home,31
2022,01,lullaby,2
2022,01,newmoon,2
2022,01,watch,30
2022,02,fullmoon,2
2022,02,geo0,2
2022,02,home,26
2022,02,lullaby,4
2022,02,watch,24
2022,03,auto,1
2022,03,fullmoon,1
2022,03,home,28
2022,03,lullaby,13
2022,03,newmoon,2
2022,03,watch,25
2022,04,fullmoon,1
2022,04,home,25
2022,04,lullaby,1
2022,04,newmoon,1
2022,04,watch,22
2022,05,fullmoon,1
2022,05,home,30
2022,05,love,1
2022,05,newmoon,2
2022,05,watch,28
2022,06,fullmoon,2
2022,06,geo0,7
2022,06,home,20
2022,06,newmoon,1
2022,06,watch,13
2022,07,auto,1
2022,07,fullmoon,1
2022,07,geo0,1
2022,07,home,29
2022,07,newmoon,2
2022,07,watch,25
2022,08,fullmoon,1
2022,08,geo0,3
2022,08,geo2,12
2022,08,home,14
2022,08,newmoon,1
2022,08,stress,1
2022,08,watch,10
2022,09,auto,1
2022,09,fullmoon,2
